iter	Logloss
0	0.6249316843
1	0.5757723233
2	0.5449663179
3	0.5229266156
4	0.5059126241
5	0.4893614509
6	0.480939902
7	0.4750567737
8	0.4700122252
9	0.4659435457
10	0.4626938153
11	0.4597876112
12	0.4578238334
13	0.4539132262
14	0.4521667939
15	0.4507530085
16	0.4491044835
17	0.4477361428
18	0.4462112597
19	0.444890032
20	0.44380913
21	0.4431250996
22	0.4422049236
23	0.4413607213
24	0.4407981278
25	0.4392474424
26	0.4384428563
27	0.4376492476
28	0.4368485224
29	0.4360748279
30	0.4355690034
31	0.434980151
32	0.4344592079
33	0.4339623675
34	0.4330498808
35	0.4323043864
36	0.4319044489
37	0.4311799671
38	0.4306504404
39	0.4304027675
40	0.4300813228
41	0.4295830511
42	0.4289433769
43	0.4282385995
44	0.4278021645
45	0.4274482557
46	0.4270574252
47	0.4267653112
48	0.4262100495
49	0.4259174823
50	0.4251760731
51	0.42462399
52	0.4241180376
53	0.4235304944
54	0.4230350171
55	0.4226583102
56	0.4221037159
57	0.4216569198
58	0.4211936585
59	0.4208299919
60	0.4205441518
61	0.4201625199
62	0.4197088705
63	0.4193639923
64	0.4190102489
65	0.4185967711
66	0.4180863459
67	0.4177974819
68	0.4174278357
69	0.4171179813
70	0.4168171193
71	0.4165245436
72	0.4161184469
73	0.4157853057
74	0.4152861124
75	0.4149484147
76	0.4145541226
77	0.4141985649
78	0.4138177066
79	0.4134226034
80	0.4131444126
81	0.4128405142
82	0.4124540649
83	0.4122734988
84	0.4119023951
85	0.411467694
86	0.4111557662
87	0.4108433056
88	0.4104329181
89	0.4099916448
90	0.4095312422
91	0.4091610951
92	0.408833314
93	0.408628951
94	0.408388642
95	0.4081084089
96	0.4078899143
97	0.4074255536
98	0.4070549941
99	0.4069801193
100	0.4066109018
101	0.4063982034
102	0.4061184202
103	0.4057731883
104	0.4054725007
105	0.4049591433
106	0.4044475782
107	0.4041697638
108	0.4039146812
109	0.4037300824
110	0.4034192167
111	0.4030097389
112	0.4026357962
113	0.4025636636
114	0.4020521777
115	0.4018658358
116	0.401601376
117	0.4011956401
118	0.4009508275
119	0.4007030825
120	0.4003023615
121	0.4000181333
122	0.3997766429
123	0.3992342231
124	0.3989487293
125	0.3986486368
126	0.3982664746
127	0.3979553198
128	0.3976882628
129	0.3974666262
130	0.3972132551
131	0.3971559157
132	0.3970870223
133	0.3967723346
134	0.3966129911
135	0.3961928779
136	0.3959524164
137	0.395465112
138	0.3952026036
139	0.3947609938
140	0.3946917441
141	0.3943763519
142	0.3940703336
143	0.3936124192
144	0.3933444053
145	0.3930374375
146	0.3927112717
147	0.3924439503
148	0.3921744604
149	0.391772875
150	0.3914311657
151	0.3910708241
152	0.3907497629
153	0.3905017799
154	0.3903077093
155	0.3900706281
156	0.3897207066
157	0.389270562
158	0.389101735
159	0.3888671752
160	0.3887936325
161	0.3884563868
162	0.388197578
163	0.3879432934
164	0.3875862301
165	0.3871736186
166	0.3868573872
167	0.3867509825
168	0.3862826513
169	0.3860981841
170	0.3858395002
171	0.3856322314
172	0.3854526505
173	0.385300532
174	0.3851089012
175	0.3848069312
176	0.3845391204
177	0.3843641116
178	0.3841817647
179	0.3838495955
180	0.3837587505
181	0.3836066499
182	0.383338556
183	0.383144791
184	0.3829559968
185	0.3828097897
186	0.3824968614
187	0.3822220209
188	0.3818824649
189	0.3815303561
190	0.381443585
191	0.3812612773
192	0.3810590891
193	0.3808735204
194	0.3806699023
195	0.3803878433
196	0.3801405496
197	0.3798457604
198	0.379535884
199	0.3795258113
