iter	Passed	Remaining
0	496	98815
1	812	80465
2	1153	75755
3	1433	70236
4	1742	67973
5	2060	66623
6	2359	65065
7	2641	63395
8	2954	62702
9	3248	61719
10	3547	60956
11	3854	60379
12	4194	60332
13	4504	59843
14	4819	59444
15	5278	60702
16	5637	60682
17	6030	60971
18	6358	60573
19	6690	60215
20	6971	59422
21	7237	58555
22	7496	57694
23	7760	56908
24	8018	56132
25	8291	55489
26	8613	55190
27	8891	54618
28	9161	54020
29	9430	53439
30	9655	52639
31	9900	51979
32	10156	51399
33	10377	50667
34	10600	49975
35	10868	49511
36	11135	49055
37	11394	48577
38	11630	48014
39	11863	47454
40	12139	47078
41	12405	46668
42	12686	46319
43	12934	45857
44	13193	45444
45	13437	44987
46	13705	44616
47	13966	44226
48	14229	43848
49	14482	43446
50	14743	43073
51	15047	42827
52	15346	42565
53	15593	42159
54	15847	41780
55	16093	41382
56	16356	41034
57	16605	40655
58	16844	40256
59	17095	39888
60	17344	39523
61	17607	39191
62	17869	38858
63	18126	38519
64	18359	38130
65	18615	37795
66	18878	37474
67	19126	37127
68	19412	36856
69	19668	36528
70	19918	36190
71	20181	35877
72	20435	35552
73	20694	35236
74	20935	34893
75	21193	34579
76	21468	34294
77	21735	33995
78	21988	33677
79	22225	33337
80	22463	33001
81	22699	32664
82	22982	32396
83	23241	32094
84	23510	31808
85	23714	31436
86	23949	31106
87	24223	30830
88	24487	30540
89	24751	30252
90	24966	29905
91	25178	29557
92	25400	29224
93	25604	28873
94	25815	28532
95	26063	28235
96	26306	27933
97	26543	27626
98	26776	27317
99	27001	27001
100	27225	26686
101	27463	26386
102	27682	26070
103	27895	25749
104	28126	25448
105	28362	25152
106	28613	24870
107	28836	24564
108	29057	24258
109	29262	23942
110	29495	23649
111	29715	23348
112	29954	23062
113	30175	22764
114	30414	22480
115	30642	22189
116	30863	21894
117	31084	21601
118	31291	21298
119	31532	21021
120	31756	20733
121	31975	20443
122	32191	20152
123	32419	19870
124	32694	19616
125	32962	19358
126	33203	19085
127	33417	18797
128	33649	18520
129	33860	18232
130	34071	17945
131	34303	17671
132	34519	17389
133	34778	17129
134	35008	16855
135	35265	16595
136	35508	16328
137	35751	16062
138	35965	15783
139	36192	15511
140	36424	15241
141	36667	14976
142	36917	14715
143	37235	14480
144	37517	14230
145	37780	13973
146	38024	13709
147	38252	13440
148	38453	13162
149	38695	12898
150	38926	12631
151	39156	12365
152	39391	12100
153	39641	11840
154	39857	11571
155	40070	11302
156	40289	11034
157	40510	10768
158	40731	10503
159	40977	10244
160	41186	9976
161	41430	9718
162	41668	9458
163	41891	9195
164	42101	8930
165	42330	8670
166	42549	8408
167	42789	8150
168	43029	7893
169	43269	7635
170	43560	7387
171	43807	7131
172	44019	6870
173	44242	6610
174	44459	6351
175	44699	6095
176	44912	5836
177	45140	5579
178	45347	5320
179	45588	5065
180	45821	4809
181	46060	4555
182	46275	4298
183	46492	4042
184	46711	3787
185	46924	3531
186	47133	3276
187	47361	3023
188	47611	2771
189	47848	2518
190	48075	2265
191	48282	2011
192	48498	1758
193	48736	1507
194	48949	1255
195	49156	1003
196	49365	751
197	49580	500
198	49811	250
199	50043	0
